	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler	TxLayer	RxLayer
DL	0.00403571	1	6	1	1	1	1	0	60	0	0	11.4227	0	0	0	0
DL	0.00403571	1	6	1	1	1	2	0	60	0	0	11.2623	0	0	1	0
DL	0.00403571	1	6	1	1	1	3	0	60	0	0	-4.86548	0	3.16697e-06	2	0
DL	0.00403571	1	6	1	1	1	4	0	60	0	0	9.42835	0	0	3	0
DL	0.00414286	1	6	7	1	1	5	0	60	0	0	22.7818	0	0	0	0
DL	0.00414286	1	6	7	1	1	6	0	60	0	0	4.72147	0	0	1	0
DL	0.00414286	1	6	7	1	1	7	0	60	0	0	9.10706	0	0	2	0
UL	0.00503571	2	0	1	1	1	1	0	60	0	0	2.58535 	0	0	0	0
UL	0.00503571	2	0	1	1	1	2	0	60	0	0	14.2021 	0	0	0	1
UL	0.00503571	2	0	1	1	1	3	0	60	0	0	-7.18135 	1	0.802447	0	2
UL	0.00503571	2	0	1	1	1	4	0	60	0	0	5.43825 	0	0	0	3
UL	0.00528571	2	1	1	1	1	5	0	60	0	0	30.7414 	0	0	0	0
UL	0.00528571	2	1	1	1	1	6	0	60	0	0	12.22 	0	0	0	1
UL	0.00528571	2	1	1	1	1	7	0	60	0	0	-8.15845 	1	0.99976	0	2
UL	0.00539286	2	1	7	1	1	1	0	60	0	0	0.592589 	0	0	0	0
UL	0.00539286	2	1	7	1	1	2	0	60	0	0	13.712 	0	0	0	1
UL	0.00539286	2	1	7	1	1	3	0	60	0	0	-9.62805 	1	0.999999	0	2
UL	0.00539286	2	1	7	1	1	4	0	60	0	0	-0.882294 	0	0	0	3
UL	0.00553571	2	2	1	1	1	5	0	60	0	0	30.7414 	0	0	0	0
UL	0.00553571	2	2	1	1	1	6	0	60	0	0	12.22 	0	0	0	1
UL	0.00553571	2	2	1	1	1	7	0	60	0	0	-8.15845 	1	0.99976	0	2
UL	0.00564286	2	2	7	1	1	1	0	60	0	0	0.592589 	0	0	0	0
UL	0.00564286	2	2	7	1	1	2	0	60	0	0	13.712 	0	0	0	1
UL	0.00564286	2	2	7	1	1	3	0	60	0	0	-9.62805 	1	0.999999	0	2
UL	0.00564286	2	2	7	1	1	4	0	60	0	0	-0.882294 	0	0	0	3
DL	0.00578571	2	3	1	1	1	1	0	939	16	0	9.95036	1	1	0	0
DL	0.00578571	2	3	1	1	1	2	0	939	16	0	11.5664	1	0.881285	1	0
DL	0.00578571	2	3	1	1	1	4	0	582	12	0	-4.01155	1	1	2	0
UL	0.00589286	2	3	7	1	1	5	0	60	0	0	30.7414 	0	0	0	0
UL	0.00589286	2	3	7	1	1	6	0	60	0	0	12.22 	0	0	0	1
UL	0.00589286	2	3	7	1	1	7	0	60	0	0	-8.15845 	1	0.99976	0	2
UL	0.00598214	2	3	12	1	1	3	0	60	0	1	9.30901 	0	0	0	0
DL	0.00603571	2	4	1	1	1	5	0	2004	26	0	29.4833	0	0	0	0
DL	0.00603571	2	4	1	1	1	6	0	234	6	0	14.3918	0	0	1	0
UL	0.00623214	2	4	12	1	1	3	0	60	0	1	9.30901 	0	0	0	0
UL	0.00648214	2	5	12	1	1	3	0	60	0	1	6.36587 	0	0	0	0
UL	0.00673214	2	6	12	1	1	7	0	60	0	1	8.61516 	0	0	0	0
DL	0.00678571	2	7	1	1	1	4	0	582	12	1	19.6121	0	0	0	0
DL	0.00678571	2	7	1	1	1	2	0	939	16	1	-0.242006	0	2.13385e-13	1	0
DL	0.00678571	2	7	1	1	1	1	0	939	16	1	-0.19427	0	6.91581e-05	2	0
DL	0.00680357	2	7	2	1	1	3	0	60	0	0	6.36587	0	0	0	0
